date,sku,location,demand,promotion,price
2022-01-01,P0012,S003,80,0,105.94
2022-01-01,P0013,S003,176,0,86.78
2022-01-01,P0014,S003,44,1,61.69
2022-01-01,P0015,S003,133,0,98.46
2022-01-01,P0016,S003,108,0,94.11
2022-01-01,P0017,S003,82,0,112.23
2022-01-01,P0018,S003,75,0,134.95
2022-01-01,P0019,S003,123,0,59.71
2022-01-01,P0020,S003,61,0,65.81
2022-01-01,P0001,S004,81,0,10.47
2022-01-01,P0002,S004,112,1,19.12
2022-01-01,P0003,S004,114,1,134.16
2022-01-01,P0004,S004,86,0,51.64
2022-01-01,P0005,S004,183,0,89.23
2022-01-01,P0006,S004,73,0,35.33
2022-01-01,P0007,S004,65,0,24.34
2022-01-01,P0008,S004,80,0,100.64
2022-01-01,P0009,S004,98,0,110.47
2022-01-01,P0010,S004,128,0,30.02
2022-01-01,P0011,S004,61,0,52.89
2022-01-01,P0012,S004,103,0,118.15
2022-01-01,P0013,S004,110,0,20.24
2022-01-01,P0014,S004,70,1,148.46
2022-01-01,P0015,S004,44,0,86.47
2022-01-01,P0016,S004,71,0,110.39
2022-01-01,P0017,S004,85,0,84.83
2022-01-01,P0018,S004,67,0,141.31
2022-01-01,P0019,S004,111,0,56.86
2022-01-01,P0020,S004,76,0,124.97
2022-01-01,P0001,S005,84,0,11.46
2022-01-01,P0002,S005,186,1,48.68
2022-01-01,P0003,S005,143,1,29.57
2022-01-01,P0004,S005,121,0,7.45
2022-01-01,P0005,S005,148,0,20.02
2022-01-01,P0006,S005,67,0,53.49
2022-01-01,P0007,S005,85,0,82.73
2022-01-01,P0008,S005,149,0,73.42
2022-01-01,P0009,S005,94,0,94.75
2022-01-01,P0010,S005,136,0,70.86
2022-01-01,P0011,S005,15,0,62.12
2022-01-01,P0012,S005,84,0,133.86
2022-01-01,P0013,S005,116,0,71.03
2022-01-01,P0014,S005,82,1,161.18
2022-01-01,P0015,S005,93,0,44.36
2022-01-01,P0016,S005,76,0,32.84
2022-01-01,P0017,S005,88,0,33.04
2022-01-01,P0018,S005,88,0,22.41
2022-01-01,P0019,S005,47,0,119.15
2022-01-01,P0020,S005,104,0,28.66
2022-01-02,P0001,S001,84,0,65.63
2022-01-02,P0002,S001,175,0,74.44
2022-01-02,P0003,S001,156,0,66.15
2022-01-02,P0004,S001,78,0,91.64
2022-01-02,P0005,S001,103,0,63.35
2022-01-02,P0006,S001,65,0,36.93
2022-01-02,P0007,S001,127,0,27.22
2022-01-02,P0008,S001,58,0,37.38
2022-01-02,P0009,S001,126,0,93.21
2022-01-02,P0010,S001,107,1,129.03
2022-01-02,P0011,S001,130,1,175.19
2022-01-02,P0012,S001,187,1,96.27
2022-01-02,P0013,S001,107,0,32.72
2022-01-02,P0014,S001,75,0,70.94
2022-01-02,P0015,S001,110,1,15.17
2022-01-02,P0016,S001,59,0,35.58
2022-01-02,P0017,S001,42,0,17.76
2022-01-02,P0018,S001,144,0,66.33
2022-01-02,P0019,S001,52,0,93.29
2022-01-02,P0020,S001,92,0,119.87
2022-01-02,P0001,S002,137,0,86.71
2022-01-02,P0002,S002,82,0,31.7
2022-01-02,P0003,S002,58,0,66.64
2022-01-02,P0004,S002,59,0,36.7
2022-01-02,P0005,S002,115,0,98.83
2022-01-02,P0006,S002,117,0,66.76
2022-01-02,P0007,S002,95,0,30.0
2022-01-02,P0008,S002,140,0,29.35
2022-01-02,P0009,S002,158,0,74.78
2022-01-02,P0010,S002,234,1,101.56
2022-01-02,P0011,S002,137,1,91.4
2022-01-02,P0012,S002,115,1,65.63
2022-01-02,P0013,S002,75,0,20.47
2022-01-02,P0014,S002,135,0,134.04
2022-01-02,P0015,S002,152,1,65.22
2022-01-02,P0016,S002,159,0,107.38
2022-01-02,P0017,S002,92,0,18.69
2022-01-02,P0018,S002,92,0,26.16
2022-01-02,P0019,S002,101,0,93.88
2022-01-02,P0020,S002,70,0,134.4
2022-01-02,P0001,S003,91,0,15.76
2022-01-02,P0002,S003,154,0,63.12
2022-01-02,P0003,S003,145,0,109.88
2022-01-02,P0004,S003,56,0,19.9
2022-01-02,P0005,S003,75,0,20.05
2022-01-02,P0006,S003,91,0,40.69
2022-01-02,P0007,S003,132,0,16.3
2022-01-02,P0008,S003,156,0,132.2
2022-01-02,P0009,S003,105,0,52.56
2022-01-02,P0010,S003,96,1,32.73
2022-01-02,P0011,S003,163,1,113.61
2022-01-02,P0012,S003,95,1,90.21
2022-01-02,P0013,S003,83,0,69.14
2022-01-02,P0014,S003,50,0,84.21
2022-01-02,P0015,S003,185,1,100.93
2022-01-02,P0016,S003,156,0,126.78
2022-01-02,P0017,S003,42,0,107.38
2022-01-02,P0018,S003,90,0,127.98
2022-01-02,P0019,S003,107,0,56.72
2022-01-02,P0020,S003,92,0,73.57
2022-01-02,P0001,S004,160,0,12.67
2022-01-02,P0002,S004,131,0,23.71
2022-01-02,P0003,S004,81,0,142.86
2022-01-02,P0004,S004,26,0,38.88
2022-01-02,P0005,S004,178,0,83.84
2022-01-02,P0006,S004,134,0,40.95
2022-01-02,P0007,S004,164,0,36.85
2022-01-02,P0008,S004,46,0,84.29
2022-01-02,P0009,S004,142,0,120.17
2022-01-02,P0010,S004,142,1,23.81
2022-01-02,P0011,S004,205,1,64.39
2022-01-02,P0012,S004,84,1,94.35
2022-01-02,P0013,S004,144,0,24.95
2022-01-02,P0014,S004,87,0,175.28
2022-01-02,P0015,S004,65,1,74.92
2022-01-02,P0016,S004,86,0,122.71
2022-01-02,P0017,S004,138,0,117.24
2022-01-02,P0018,S004,87,0,169.09
2022-01-02,P0019,S004,148,0,66.93
2022-01-02,P0020,S004,53,0,114.9
2022-01-02,P0001,S005,75,0,11.7
2022-01-02,P0002,S005,106,0,40.81
2022-01-02,P0003,S005,100,0,29.13
2022-01-02,P0004,S005,119,0,7.79
2022-01-02,P0005,S005,95,0,15.31
2022-01-02,P0006,S005,116,0,56.83
2022-01-02,P0007,S005,4,0,56.72
2022-01-02,P0008,S005,94,0,58.77
2022-01-02,P0009,S005,104,0,103.03
2022-01-02,P0010,S005,182,1,72.29
2022-01-02,P0011,S005,62,1,57.17
2022-01-02,P0012,S005,110,1,131.02
2022-01-02,P0013,S005,118,0,75.5
2022-01-02,P0014,S005,65,0,160.24
2022-01-02,P0015,S005,118,1,45.46
2022-01-02,P0016,S005,81,0,35.13
2022-01-02,P0017,S005,60,0,31.63
2022-01-02,P0018,S005,211,0,28.59
2022-01-02,P0019,S005,61,0,119.41
2022-01-02,P0020,S005,68,0,26.62
2022-01-03,P0001,S001,132,1,68.55
2022-01-03,P0002,S001,137,0,78.32
2022-01-03,P0003,S001,106,1,51.3
2022-01-03,P0004,S001,63,0,91.74
2022-01-03,P0005,S001,172,1,58.17
2022-01-03,P0006,S001,92,1,36.37
2022-01-03,P0007,S001,101,0,23.81
2022-01-03,P0008,S001,64,0,42.35
2022-01-03,P0009,S001,109,0,98.1
2022-01-03,P0010,S001,82,0,138.64
2022-01-03,P0011,S001,86,0,152.23
2022-01-03,P0012,S001,201,1,88.83
2022-01-03,P0013,S001,64,0,29.75
2022-01-03,P0014,S001,134,0,81.49
2022-01-03,P0015,S001,86,0,16.43
2022-01-03,P0016,S001,193,1,45.61
2022-01-03,P0017,S001,80,0,22.74
2022-01-03,P0018,S001,137,0,72.12
2022-01-03,P0019,S001,68,0,104.22
2022-01-03,P0020,S001,77,1,94.75
2022-01-03,P0001,S002,189,1,84.32
2022-01-03,P0002,S002,100,0,33.62
2022-01-03,P0003,S002,84,1,69.5
2022-01-03,P0004,S002,53,0,37.8
2022-01-03,P0005,S002,150,1,103.86
2022-01-03,P0006,S002,184,1,67.06
2022-01-03,P0007,S002,89,0,27.9
2022-01-03,P0008,S002,154,0,30.53
2022-01-03,P0009,S002,145,0,68.23
2022-01-03,P0010,S002,105,0,86.08
2022-01-03,P0011,S002,144,0,109.82
2022-01-03,P0012,S002,158,1,70.05
2022-01-03,P0013,S002,70,0,18.11
2022-01-03,P0014,S002,113,0,125.35
2022-01-03,P0015,S002,158,0,74.64
2022-01-03,P0016,S002,109,1,69.5
2022-01-03,P0017,S002,87,0,20.44
2022-01-03,P0018,S002,127,0,29.14
2022-01-03,P0019,S002,145,0,96.98
2022-01-03,P0020,S002,22,1,82.98
2022-01-03,P0001,S003,168,1,18.83
2022-01-03,P0002,S003,104,0,60.46
2022-01-03,P0003,S003,175,1,102.13
2022-01-03,P0004,S003,99,0,20.88
2022-01-03,P0005,S003,72,1,17.78
2022-01-03,P0006,S003,40,1,28.63
2022-01-03,P0007,S003,109,0,16.06
2022-01-03,P0008,S003,134,0,123.69
2022-01-03,P0009,S003,131,0,56.93
2022-01-03,P0010,S003,200,0,52.41
2022-01-03,P0011,S003,65,0,105.49
2022-01-03,P0012,S003,148,1,93.48
2022-01-03,P0013,S003,166,0,94.01
2022-01-03,P0014,S003,95,0,89.29
2022-01-03,P0015,S003,47,0,81.54
2022-01-03,P0016,S003,127,1,87.62
2022-01-03,P0017,S003,58,0,114.31
2022-01-03,P0018,S003,70,0,125.69
2022-01-03,P0019,S003,134,0,65.05
2022-01-03,P0020,S003,184,1,77.03
2022-01-03,P0001,S004,207,1,12.83
2022-01-03,P0002,S004,88,0,18.58
2022-01-03,P0003,S004,111,1,126.27
2022-01-03,P0004,S004,90,0,55.0
2022-01-03,P0005,S004,125,1,71.68
2022-01-03,P0006,S004,118,1,29.24
2022-01-03,P0007,S004,88,0,29.23
2022-01-03,P0008,S004,89,0,98.36
2022-01-03,P0009,S004,129,0,128.21
2022-01-03,P0010,S004,124,0,25.38
2022-01-03,P0011,S004,166,0,69.83
2022-01-03,P0012,S004,173,1,114.62
2022-01-03,P0013,S004,113,0,22.69
2022-01-03,P0014,S004,62,0,151.73
2022-01-03,P0015,S004,67,0,85.0
2022-01-03,P0016,S004,102,1,116.65
2022-01-03,P0017,S004,136,0,105.0
2022-01-03,P0018,S004,133,0,185.13
2022-01-03,P0019,S004,75,0,55.99
2022-01-03,P0020,S004,95,1,111.07
2022-01-03,P0001,S005,117,1,10.87
2022-01-03,P0002,S005,104,0,38.42
2022-01-03,P0003,S005,120,1,29.53
2022-01-03,P0004,S005,60,0,6.37
2022-01-03,P0005,S005,130,1,15.19
2022-01-03,P0006,S005,159,1,57.2
2022-01-03,P0007,S005,81,0,77.66
2022-01-03,P0008,S005,58,0,54.45
2022-01-03,P0009,S005,108,0,98.97
2022-01-03,P0010,S005,174,0,67.22
2022-01-03,P0011,S005,93,0,75.78
2022-01-03,P0012,S005,122,1,143.23
2022-01-03,P0013,S005,100,0,74.98
2022-01-03,P0014,S005,95,0,178.05
2022-01-03,P0015,S005,116,0,50.38
2022-01-03,P0016,S005,171,1,41.54
2022-01-03,P0017,S005,115,0,40.18
2022-01-03,P0018,S005,67,0,18.73
2022-01-03,P0019,S005,68,0,129.42
2022-01-03,P0020,S005,72,1,25.7
2022-01-04,P0001,S001,67,0,61.66
2022-01-04,P0002,S001,116,0,69.87
2022-01-04,P0003,S001,96,1,46.51
2022-01-04,P0004,S001,52,0,88.09
2022-01-04,P0005,S001,129,1,52.34
2022-01-04,P0006,S001,86,0,37.81
2022-01-04,P0007,S001,185,1,25.59
2022-01-04,P0008,S001,119,0,43.67
2022-01-04,P0009,S001,101,1,81.46
2022-01-04,P0010,S001,71,0,133.12
2022-01-04,P0011,S001,70,0,151.43
2022-01-04,P0012,S001,101,1,75.21
2022-01-04,P0013,S001,126,1,28.99
2022-01-04,P0014,S001,133,1,76.99
2022-01-04,P0015,S001,75,0,15.01
2022-01-04,P0016,S001,111,0,40.46
2022-01-04,P0017,S001,62,1,18.23
2022-01-04,P0018,S001,100,1,57.88
2022-01-04,P0019,S001,80,0,109.44
2022-01-04,P0020,S001,110,0,127.11
2022-01-04,P0001,S002,180,0,103.11
2022-01-04,P0002,S002,96,0,29.92
2022-01-04,P0003,S002,139,1,68.92
2022-01-04,P0004,S002,80,0,37.63
2022-01-04,P0005,S002,64,1,74.22
2022-01-04,P0006,S002,106,0,71.52
2022-01-04,P0007,S002,112,1,28.57
2022-01-04,P0008,S002,109,0,26.73
2022-01-04,P0009,S002,161,1,63.42
2022-01-04,P0010,S002,88,0,81.42
2022-01-04,P0011,S002,128,0,94.34
2022-01-04,P0012,S002,140,1,74.94
2022-01-04,P0013,S002,69,1,16.91
2022-01-04,P0014,S002,146,1,124.24
2022-01-04,P0015,S002,95,0,65.07
2022-01-04,P0016,S002,129,0,93.55
2022-01-04,P0017,S002,119,1,17.01
2022-01-04,P0018,S002,214,1,34.99
2022-01-04,P0019,S002,160,0,95.83
2022-01-04,P0020,S002,104,0,143.16
2022-01-04,P0001,S003,95,0,15.15
2022-01-04,P0002,S003,132,0,65.96
2022-01-04,P0003,S003,185,1,110.35
2022-01-04,P0004,S003,55,0,19.87
2022-01-04,P0005,S003,149,1,21.41
2022-01-04,P0006,S003,107,0,40.83
2022-01-04,P0007,S003,170,1,16.12
2022-01-04,P0008,S003,156,0,131.49
2022-01-04,P0009,S003,116,1,43.15
2022-01-04,P0010,S003,138,0,42.18
2022-01-04,P0011,S003,140,0,142.09
2022-01-04,P0012,S003,90,1,87.64
2022-01-04,P0013,S003,166,1,66.9
2022-01-04,P0014,S003,227,1,101.6
2022-01-04,P0015,S003,203,0,132.02
2022-01-04,P0016,S003,112,0,105.97
2022-01-04,P0017,S003,148,1,138.36
2022-01-04,P0018,S003,115,1,123.23
2022-01-04,P0019,S003,99,0,55.43
2022-01-04,P0020,S003,103,0,80.2
2022-01-04,P0001,S004,83,0,10.55
2022-01-04,P0002,S004,164,0,24.76
2022-01-04,P0003,S004,144,1,165.54
2022-01-04,P0004,S004,84,0,46.09
2022-01-04,P0005,S004,150,1,81.79
2022-01-04,P0006,S004,107,0,35.73
2022-01-04,P0007,S004,120,1,25.97
2022-01-04,P0008,S004,75,0,93.91
2022-01-04,P0009,S004,235,1,143.79
2022-01-04,P0010,S004,57,0,23.58
2022-01-04,P0011,S004,104,0,55.29
2022-01-04,P0012,S004,117,1,97.47
2022-01-04,P0013,S004,198,1,21.87
2022-01-04,P0014,S004,28,1,110.34
2022-01-04,P0015,S004,94,0,103.84
2022-01-04,P0016,S004,80,0,114.25
2022-01-04,P0017,S004,54,1,67.23
2022-01-04,P0018,S004,113,1,155.02
2022-01-04,P0019,S004,75,0,53.04
2022-01-04,P0020,S004,150,0,158.31
2022-01-04,P0001,S005,83,0,12.03
2022-01-04,P0002,S005,83,0,39.78
2022-01-04,P0003,S005,59,1,22.64
2022-01-04,P0004,S005,88,0,7.04
2022-01-04,P0005,S005,164,1,18.83
2022-01-04,P0006,S005,80,0,53.05
2022-01-04,P0007,S005,157,1,87.87
2022-01-04,P0008,S005,162,0,72.27
2022-01-04,P0009,S005,146,1,83.39
2022-01-04,P0010,S005,118,0,67.01
2022-01-04,P0011,S005,99,0,85.83
2022-01-04,P0012,S005,41,1,96.76
2022-01-04,P0013,S005,165,1,77.38
2022-01-04,P0014,S005,97,1,150.93
2022-01-04,P0015,S005,92,0,49.18
2022-01-04,P0016,S005,93,0,36.59
2022-01-04,P0017,S005,107,1,29.38
2022-01-04,P0018,S005,112,1,19.53
2022-01-04,P0019,S005,37,0,126.83
2022-01-04,P0020,S005,119,0,33.42
2022-01-05,P0001,S001,110,1,59.56
2022-01-05,P0002,S001,89,0,57.54
2022-01-05,P0003,S001,131,0,61.64
2022-01-05,P0004,S001,62,1,76.08
2022-01-05,P0005,S001,122,1,57.21
2022-01-05,P0006,S001,125,1,35.63
2022-01-05,P0007,S001,147,0,28.84
2022-01-05,P0008,S001,85,1,39.03
2022-01-05,P0009,S001,140,1,92.22
2022-01-05,P0010,S001,82,1,117.69
2022-01-05,P0011,S001,95,1,137.69
2022-01-05,P0012,S001,101,1,65.96
2022-01-05,P0013,S001,74,0,30.86
2022-01-05,P0014,S001,136,1,73.34
2022-01-05,P0015,S001,37,0,11.68
2022-01-05,P0016,S001,200,1,43.67
2022-01-05,P0017,S001,57,0,17.91
2022-01-05,P0018,S001,136,1,57.56
2022-01-05,P0019,S001,55,1,89.13
2022-01-05,P0020,S001,137,1,122.84
2022-01-05,P0001,S002,154,1,80.86
2022-01-05,P0002,S002,74,0,30.8
2022-01-05,P0003,S002,79,0,75.8
2022-01-05,P0004,S002,65,1,31.95
2022-01-05,P0005,S002,157,1,95.04
2022-01-05,P0006,S002,119,1,63.82
2022-01-05,P0007,S002,64,0,22.96
2022-01-05,P0008,S002,145,1,23.51
2022-01-05,P0009,S002,236,1,86.08
2022-01-05,P0010,S002,76,1,73.77
2022-01-05,P0011,S002,201,1,120.94
2022-01-05,P0012,S002,84,1,56.28
2022-01-05,P0013,S002,73,0,19.27
2022-01-05,P0014,S002,155,1,126.06
2022-01-05,P0015,S002,84,0,69.42
2022-01-05,P0016,S002,161,1,80.89
2022-01-05,P0017,S002,78,0,18.76
2022-01-05,P0018,S002,115,1,22.23
2022-01-05,P0019,S002,90,1,68.86
2022-01-05,P0020,S002,89,1,122.57
2022-01-05,P0001,S003,187,1,18.5
2022-01-05,P0002,S003,133,0,65.99
2022-01-05,P0003,S003,224,0,121.31
2022-01-05,P0004,S003,140,1,22.18
2022-01-05,P0005,S003,107,1,19.88
2022-01-05,P0006,S003,96,1,35.38
2022-01-05,P0007,S003,87,0,14.15
2022-01-05,P0008,S003,202,1,123.56
2022-01-05,P0009,S003,221,1,64.79
2022-01-05,P0010,S003,148,1,40.8
2022-01-05,P0011,S003,217,1,130.31
2022-01-05,P0012,S003,151,1,100.54
2022-01-05,P0013,S003,97,0,68.96
2022-01-05,P0014,S003,179,1,96.42
2022-01-05,P0015,S003,86,0,94.15
2022-01-05,P0016,S003,175,1,100.22
2022-01-05,P0017,S003,77,0,128.92
2022-01-05,P0018,S003,97,1,122.47
2022-01-05,P0019,S003,307,1,69.98
2022-01-05,P0020,S003,180,1,71.56
2022-01-05,P0001,S004,111,1,9.25
2022-01-05,P0002,S004,130,0,23.6
2022-01-05,P0003,S004,52,0,121.52
2022-01-05,P0004,S004,95,1,47.66
2022-01-05,P0005,S004,162,1,80.18
2022-01-05,P0006,S004,78,1,28.72
2022-01-05,P0007,S004,93,0,28.22
2022-01-05,P0008,S004,96,1,89.39
2022-01-05,P0009,S004,107,1,96.07
2022-01-05,P0010,S004,222,1,29.29
2022-01-05,P0011,S004,159,1,61.57
2022-01-05,P0012,S004,158,1,111.58
2022-01-05,P0013,S004,117,0,20.75
2022-01-05,P0014,S004,48,1,119.71
2022-01-05,P0015,S004,54,0,89.97
2022-01-05,P0016,S004,97,1,107.39
2022-01-05,P0017,S004,180,0,131.36
2022-01-05,P0018,S004,114,1,147.45
2022-01-05,P0019,S004,83,1,43.1
2022-01-05,P0020,S004,83,1,120.97
2022-01-05,P0001,S005,161,1,13.08
2022-01-05,P0002,S005,86,0,40.3
2022-01-05,P0003,S005,99,0,29.04
2022-01-05,P0004,S005,102,1,7.01
2022-01-05,P0005,S005,53,1,10.42
2022-01-05,P0006,S005,111,1,52.86
2022-01-05,P0007,S005,112,0,77.36
2022-01-05,P0008,S005,118,1,59.97
2022-01-05,P0009,S005,103,1,73.22
2022-01-05,P0010,S005,157,1,53.57
2022-01-05,P0011,S005,114,1,76.89
2022-01-05,P0012,S005,77,1,123.61
2022-01-05,P0013,S005,54,0,66.97
2022-01-05,P0014,S005,77,1,133.69
2022-01-05,P0015,S005,100,0,45.39
2022-01-05,P0016,S005,134,1,33.68
2022-01-05,P0017,S005,76,0,37.15
2022-01-05,P0018,S005,37,1,13.19
2022-01-05,P0019,S005,75,1,124.92
2022-01-05,P0020,S005,108,1,25.81
2022-01-06,P0001,S001,146,0,84.03
2022-01-06,P0002,S001,115,1,55.73
2022-01-06,P0003,S001,138,0,62.85
2022-01-06,P0004,S001,65,1,76.7
2022-01-06,P0005,S001,92,0,55.13
2022-01-06,P0006,S001,138,0,44.53
2022-01-06,P0007,S001,125,0,28.44
2022-01-06,P0008,S001,114,0,47.69
2022-01-06,P0009,S001,170,1,100.31
2022-01-06,P0010,S001,54,0,118.84
2022-01-06,P0011,S001,91,1,135.85
2022-01-06,P0012,S001,85,0,79.21
2022-01-06,P0013,S001,154,1,33.78
2022-01-06,P0014,S001,165,0,88.88
2022-01-06,P0015,S001,106,0,16.63
2022-01-06,P0016,S001,94,0,36.35
2022-01-06,P0017,S001,132,0,24.24
2022-01-06,P0018,S001,112,0,60.31
2022-01-06,P0019,S001,82,0,110.01
2022-01-06,P0020,S001,133,0,129.63
2022-01-06,P0001,S002,113,0,89.44
2022-01-06,P0002,S002,96,1,31.48
2022-01-06,P0003,S002,86,0,70.03
2022-01-06,P0004,S002,97,1,37.81
2022-01-06,P0005,S002,53,0,75.35
2022-01-06,P0006,S002,127,0,68.69
2022-01-06,P0007,S002,88,0,26.4
2022-01-06,P0008,S002,86,0,22.32
2022-01-06,P0009,S002,129,1,54.33
2022-01-06,P0010,S002,118,0,94.6
2022-01-06,P0011,S002,143,1,92.11
2022-01-06,P0012,S002,92,0,68.15
2022-01-06,P0013,S002,154,1,24.89
2022-01-06,P0014,S002,31,0,98.21
2022-01-06,P0015,S002,107,0,74.99
2022-01-06,P0016,S002,37,0,71.37
2022-01-06,P0017,S002,51,0,17.88
2022-01-06,P0018,S002,105,0,30.2
2022-01-06,P0019,S002,116,0,93.63
2022-01-06,P0020,S002,102,0,134.79
2022-01-06,P0001,S003,118,0,18.13
2022-01-06,P0002,S003,150,1,59.42
2022-01-06,P0003,S003,123,0,92.85
2022-01-06,P0004,S003,96,1,18.16
2022-01-06,P0005,S003,81,0,20.51
2022-01-06,P0006,S003,120,0,40.33
2022-01-06,P0007,S003,179,0,20.64
2022-01-06,P0008,S003,90,0,107.83
2022-01-06,P0009,S003,140,1,51.96
2022-01-06,P0010,S003,106,0,38.09
2022-01-06,P0011,S003,146,1,137.01
2022-01-06,P0012,S003,74,0,103.88
2022-01-06,P0013,S003,189,1,85.35
2022-01-06,P0014,S003,98,0,90.22
2022-01-06,P0015,S003,77,0,86.56
2022-01-06,P0016,S003,118,0,97.0
2022-01-06,P0017,S003,88,0,134.1
2022-01-06,P0018,S003,73,0,133.88
2022-01-06,P0019,S003,94,0,54.36
2022-01-06,P0020,S003,125,0,81.78
2022-01-06,P0001,S004,126,0,10.92
2022-01-06,P0002,S004,174,1,20.33
2022-01-06,P0003,S004,44,0,130.95
2022-01-06,P0004,S004,88,1,39.0
2022-01-06,P0005,S004,84,0,66.6
2022-01-06,P0006,S004,107,0,37.63
2022-01-06,P0007,S004,77,0,26.73
2022-01-06,P0008,S004,88,0,98.17
2022-01-06,P0009,S004,198,1,131.78
2022-01-06,P0010,S004,99,0,26.05
2022-01-06,P0011,S004,106,1,55.64
2022-01-06,P0012,S004,73,0,106.65
2022-01-06,P0013,S004,84,1,17.55
2022-01-06,P0014,S004,55,0,163.95
2022-01-06,P0015,S004,111,0,115.41
2022-01-06,P0016,S004,79,0,107.81
2022-01-06,P0017,S004,68,0,84.09
2022-01-06,P0018,S004,58,0,144.32
2022-01-06,P0019,S004,98,0,63.78
2022-01-06,P0020,S004,42,0,115.81
2022-01-06,P0001,S005,163,0,14.59
2022-01-06,P0002,S005,114,1,37.21
2022-01-06,P0003,S005,139,0,33.01
2022-01-06,P0004,S005,146,1,8.44
2022-01-06,P0005,S005,97,0,15.43
2022-01-06,P0006,S005,190,0,73.71
2022-01-06,P0007,S005,159,0,103.96
2022-01-06,P0008,S005,148,0,69.43
2022-01-06,P0009,S005,109,1,89.43
2022-01-06,P0010,S005,108,0,58.62
2022-01-06,P0011,S005,132,1,67.74
2022-01-06,P0012,S005,73,0,128.7
2022-01-06,P0013,S005,182,1,76.03
2022-01-06,P0014,S005,83,0,162.12
2022-01-06,P0015,S005,178,0,57.1
2022-01-06,P0016,S005,78,0,31.42
2022-01-06,P0017,S005,113,0,37.89
2022-01-06,P0018,S005,145,0,26.78
2022-01-06,P0019,S005,79,0,134.65
2022-01-06,P0020,S005,116,0,33.11
2022-01-07,P0001,S001,87,0,66.07
2022-01-07,P0002,S001,94,0,58.58
2022-01-07,P0003,S001,71,1,43.04
2022-01-07,P0004,S001,57,0,99.27
2022-01-07,P0005,S001,97,0,56.02
2022-01-07,P0006,S001,115,0,46.2
2022-01-07,P0007,S001,134,1,25.04
2022-01-07,P0008,S001,124,0,46.73
2022-01-07,P0009,S001,120,0,96.57
2022-01-07,P0010,S001,45,0,114.83
2022-01-07,P0011,S001,76,0,163.3
2022-01-07,P0012,S001,76,1,61.32
2022-01-07,P0013,S001,66,1,23.68
2022-01-07,P0014,S001,108,1,60.19
2022-01-07,P0015,S001,98,0,16.24
2022-01-07,P0016,S001,175,1,38.9
2022-01-07,P0017,S001,102,0,22.03
2022-01-07,P0018,S001,132,1,50.74
2022-01-07,P0019,S001,55,0,104.86
2022-01-07,P0020,S001,135,1,122.03
2022-01-07,P0001,S002,146,0,84.54
2022-01-07,P0002,S002,66,0,31.44
2022-01-07,P0003,S002,75,1,59.13
2022-01-07,P0004,S002,90,0,41.02
2022-01-07,P0005,S002,108,0,101.71
2022-01-07,P0006,S002,134,0,74.21
2022-01-07,P0007,S002,195,1,32.05
2022-01-07,P0008,S002,124,0,25.23
2022-01-07,P0009,S002,120,0,70.5
2022-01-07,P0010,S002,121,0,95.48
2022-01-07,P0011,S002,160,0,109.02
2022-01-07,P0012,S002,110,1,61.38
2022-01-07,P0013,S002,126,1,22.95
2022-01-07,P0014,S002,163,1,114.8
